timestep,nABC_pure,nABC_clean,nABC_all,nAB_edges,nBC_edges,nApatch3,nBpatch4,nBpatch5,nCpatch6
10000,0,0,0,0,0,75,75,75,75
20000,0,0,0,4,4,75,75,75,75
30000,0,0,0,7,7,75,75,75,75
40000,1,1,1,8,8,75,75,75,75
50000,1,1,3,9,11,75,75,75,75
60000,1,2,4,11,12,75,75,75,75
70000,2,4,6,11,16,75,75,75,75
80000,3,5,7,12,16,75,75,75,75
90000,3,5,7,13,17,75,75,75,75
100000,2,4,8,14,17,75,75,75,75
110000,3,5,9,15,18,75,75,75,75
120000,3,5,9,15,18,75,75,75,75
130000,3,5,9,15,18,75,75,75,75
140000,3,5,9,15,18,75,75,75,75
150000,3,5,9,15,18,75,75,75,75
160000,3,5,9,15,18,75,75,75,75
170000,4,6,10,15,19,75,75,75,75
180000,5,7,11,16,19,75,75,75,75
190000,5,7,11,17,19,75,75,75,75
200000,4,6,12,17,20,75,75,75,75
210000,4,6,12,17,20,75,75,75,75
220000,4,6,12,17,20,75,75,75,75
230000,4,6,12,17,20,75,75,75,75
240000,5,7,13,17,21,75,75,75,75
250000,5,7,13,17,21,75,75,75,75
260000,5,7,13,17,21,75,75,75,75
270000,6,8,14,18,21,75,75,75,75
280000,6,8,14,18,21,75,75,75,75
290000,6,8,14,18,21,75,75,75,75
300000,6,8,14,18,21,75,75,75,75
310000,7,9,15,18,22,75,75,75,75
320000,7,9,15,18,22,75,75,75,75
330000,7,9,15,18,22,75,75,75,75
340000,8,10,16,19,22,75,75,75,75
350000,7,9,17,20,22,75,75,75,75
360000,6,8,18,21,22,75,75,75,75
370000,6,9,19,22,22,75,75,75,75
380000,6,9,19,22,22,75,75,75,75
390000,6,9,19,22,22,75,75,75,75
400000,6,9,19,22,22,75,75,75,75
410000,6,9,19,22,22,75,75,75,75
420000,6,9,19,22,22,75,75,75,75
430000,6,9,19,22,22,75,75,75,75
440000,5,8,20,22,23,75,75,75,75
450000,5,8,20,22,23,75,75,75,75
460000,5,8,20,22,23,75,75,75,75
470000,5,8,20,22,23,75,75,75,75
480000,5,8,20,22,24,75,75,75,75
490000,5,8,20,22,24,75,75,75,75
500000,5,8,20,22,24,75,75,75,75
510000,5,8,20,22,24,75,75,75,75
520000,4,9,21,22,25,75,75,75,75
530000,4,9,21,22,25,75,75,75,75
540000,4,9,21,22,25,75,75,75,75
550000,4,9,21,22,25,75,75,75,75
560000,4,9,21,22,25,75,75,75,75
570000,4,9,23,22,26,75,75,75,75
580000,5,10,24,22,27,75,75,75,75
590000,5,10,24,22,27,75,75,75,75
600000,5,10,24,22,27,75,75,75,75
610000,5,10,24,22,27,75,75,75,75
620000,5,10,24,22,27,75,75,75,75
630000,5,10,24,22,27,75,75,75,75
640000,5,10,24,22,27,75,75,75,75
650000,5,10,24,22,27,75,75,75,75
660000,5,10,24,22,27,75,75,75,75
670000,5,10,24,22,27,75,75,75,75
680000,5,10,24,22,27,75,75,75,75
690000,5,10,24,22,27,75,75,75,75
700000,5,10,24,22,27,75,75,75,75
710000,5,10,24,22,27,75,75,75,75
720000,4,11,25,23,27,75,75,75,75
730000,4,11,25,23,27,75,75,75,75
740000,4,11,25,23,27,75,75,75,75
750000,4,11,25,23,27,75,75,75,75
760000,4,11,25,23,27,75,75,75,75
770000,4,11,25,23,27,75,75,75,75
780000,4,11,25,23,27,75,75,75,75
790000,4,11,25,23,27,75,75,75,75
800000,4,11,25,23,27,75,75,75,75
810000,4,11,25,23,27,75,75,75,75
820000,4,11,25,23,27,75,75,75,75
830000,4,11,25,23,27,75,75,75,75
840000,4,11,25,23,27,75,75,75,75
850000,4,11,25,23,27,75,75,75,75
860000,4,11,25,23,27,75,75,75,75
870000,4,11,25,23,27,75,75,75,75
880000,4,11,25,23,27,75,75,75,75
890000,4,11,25,23,27,75,75,75,75
900000,4,11,25,23,27,75,75,75,75
