timestep,nABC_pure,nABC_clean,nABC_all,nAB_edges,nBC_edges,nApatch3,nBpatch4,nBpatch5,nCpatch6
10000,0,0,0,0,0,75,75,75,75
20000,0,0,0,5,3,75,75,75,75
30000,1,1,1,7,8,75,75,75,75
40000,2,2,2,9,9,75,75,75,75
50000,3,3,5,10,13,75,75,75,75
60000,4,4,6,11,14,75,75,75,75
70000,4,4,6,11,14,75,75,75,75
80000,6,6,8,12,16,75,75,75,75
90000,6,6,8,12,16,75,75,75,75
100000,7,7,9,12,18,75,75,75,75
110000,7,7,9,13,18,75,75,75,75
120000,7,7,9,13,18,75,75,75,75
130000,7,7,9,13,18,75,75,75,75
140000,8,8,10,13,19,75,75,75,75
150000,9,9,11,14,20,75,75,75,75
160000,9,9,11,14,21,75,75,75,75
170000,10,10,12,15,21,75,75,75,75
180000,9,9,13,16,21,75,75,75,75
190000,9,9,13,16,21,75,75,75,75
200000,9,9,13,16,21,75,75,75,75
210000,9,9,13,16,21,75,75,75,75
220000,9,9,13,16,21,75,75,75,75
230000,9,9,13,18,21,75,75,75,75
240000,9,9,13,18,22,75,75,75,75
250000,10,10,14,19,22,75,75,75,75
260000,10,10,16,19,23,75,75,75,75
270000,10,10,16,19,23,75,75,75,75
280000,10,10,16,19,23,75,75,75,75
290000,10,10,16,20,23,75,75,75,75
300000,10,10,16,20,23,75,75,75,75
310000,10,10,16,20,23,75,75,75,75
320000,10,10,16,20,23,75,75,75,75
330000,10,10,16,20,23,75,75,75,75
340000,11,11,17,21,23,75,75,75,75
350000,11,11,17,21,23,75,75,75,75
360000,11,11,17,21,23,75,75,75,75
370000,11,11,17,21,23,75,75,75,75
380000,11,11,17,21,23,75,75,75,75
390000,11,11,17,21,23,75,75,75,75
400000,11,11,17,21,23,75,75,75,75
410000,11,11,17,21,23,75,75,75,75
420000,11,11,17,21,23,75,75,75,75
430000,11,11,17,21,23,75,75,75,75
440000,11,11,17,21,23,75,75,75,75
450000,11,11,17,21,23,75,75,75,75
460000,11,11,17,21,23,75,75,75,75
470000,11,11,17,21,23,75,75,75,75
480000,10,10,18,21,24,75,75,75,75
490000,10,10,18,21,24,75,75,75,75
500000,10,10,18,21,24,75,75,75,75
510000,10,10,18,21,24,75,75,75,75
520000,9,9,19,22,24,75,75,75,75
530000,9,9,19,22,24,75,75,75,75
540000,9,9,19,22,24,75,75,75,75
550000,9,9,19,22,24,75,75,75,75
560000,9,9,21,22,26,75,75,75,75
570000,9,9,21,22,26,75,75,75,75
580000,9,9,21,22,26,75,75,75,75
590000,9,9,21,22,26,75,75,75,75
600000,8,8,22,23,26,75,75,75,75
610000,8,8,22,23,26,75,75,75,75
620000,8,8,22,23,26,75,75,75,75
630000,8,8,22,23,26,75,75,75,75
640000,8,8,22,23,26,75,75,75,75
650000,9,9,23,24,26,75,75,75,75
660000,9,10,24,25,26,75,75,75,75
670000,9,10,24,25,26,75,75,75,75
680000,9,10,24,25,26,75,75,75,75
690000,9,10,24,25,26,75,75,75,75
700000,9,10,24,25,26,75,75,75,75
710000,9,10,24,25,26,75,75,75,75
720000,9,10,24,25,26,75,75,75,75
730000,9,10,24,25,26,75,75,75,75
740000,9,10,24,25,26,75,75,75,75
750000,9,10,24,25,26,75,75,75,75
760000,9,10,24,25,26,75,75,75,75
770000,9,10,24,25,26,75,75,75,75
780000,9,10,24,25,26,75,75,75,75
790000,9,10,24,25,26,75,75,75,75
800000,9,10,24,25,26,75,75,75,75
810000,9,10,24,25,26,75,75,75,75
820000,9,10,24,25,26,75,75,75,75
830000,9,10,24,25,26,75,75,75,75
840000,9,10,24,25,26,75,75,75,75
850000,9,10,24,25,26,75,75,75,75
860000,9,10,24,25,26,75,75,75,75
870000,9,10,24,25,26,75,75,75,75
880000,9,10,24,25,26,75,75,75,75
890000,9,10,24,25,26,75,75,75,75
900000,9,10,24,25,26,75,75,75,75
910000,9,10,24,25,26,75,75,75,75
920000,9,10,24,25,26,75,75,75,75
930000,9,10,24,25,26,75,75,75,75
940000,9,10,24,25,26,75,75,75,75
950000,9,10,24,25,26,75,75,75,75
960000,9,10,24,25,26,75,75,75,75
970000,9,10,24,25,26,75,75,75,75
980000,9,10,24,25,26,75,75,75,75
990000,9,10,24,25,26,75,75,75,75
1000000,9,10,24,25,26,75,75,75,75
1010000,9,10,24,25,26,75,75,75,75
1020000,9,10,24,25,26,75,75,75,75
1030000,9,10,24,25,26,75,75,75,75
1040000,9,10,24,25,26,75,75,75,75
1050000,9,10,24,25,26,75,75,75,75
1060000,9,10,24,25,26,75,75,75,75
1070000,9,10,24,25,26,75,75,75,75
1080000,9,10,24,25,26,75,75,75,75
1090000,9,10,24,25,26,75,75,75,75
1100000,9,10,24,25,26,75,75,75,75
1110000,9,10,24,25,26,75,75,75,75
1120000,9,10,24,25,26,75,75,75,75
1130000,9,10,24,25,26,75,75,75,75
1140000,9,10,24,25,26,75,75,75,75
1150000,9,10,24,25,26,75,75,75,75
